2026-08-25T06:37:37Z alive=8 arms=346756 landings=693512 core1=43714 core11=43652 core13=43688 core15=43917 core3=43787 core5=42077 core7=42400 core9=43521
2026-08-25T06:38:37Z alive=8 arms=349385 landings=698770 core1=44045 core11=43982 core13=44031 core15=44246 core3=44118 core5=42395 core7=42717 core9=43851
2026-08-25T06:39:37Z alive=8 arms=351999 landings=703998 core1=44375 core11=44311 core13=44361 core15=44576 core3=44449 core5=42712 core7=43034 core9=44181
2026-08-25T06:40:37Z alive=8 arms=354639 landings=709278 core1=44706 core11=44640 core13=44704 core15=44905 core3=44778 core5=43029 core7=43365 core9=44512
2026-08-25T06:41:37Z alive=8 arms=357283 landings=714566 core1=45036 core11=44983 core13=45034 core15=45235 core3=45109 core5=43347 core7=43696 core9=44843
2026-08-25T06:42:37Z alive=8 arms=359924 landings=719848 core1=45366 core11=45300 core13=45377 core15=45577 core3=45439 core5=43678 core7=44014 core9=45173
2026-08-25T06:43:37Z alive=8 arms=362592 landings=725184 core1=45710 core11=45642 core13=45720 core15=45907 core3=45770 core5=43995 core7=44344 core9=45504
2026-08-25T06:44:37Z alive=8 arms=365207 landings=730414 core1=46041 core11=45972 core13=46049 core15=46237 core3=46100 core5=44312 core7=44648 core9=45848
2026-08-25T06:45:37Z alive=8 arms=367846 landings=735692 core1=46371 core11=46301 core13=46378 core15=46579 core3=46444 core5=44629 core7=44966 core9=46178
2026-08-25T06:46:37Z alive=8 arms=370475 landings=740950 core1=46702 core11=46631 core13=46708 core15=46908 core3=46774 core5=44947 core7=45296 core9=46509
2026-08-25T06:47:37Z alive=8 arms=373130 landings=746260 core1=47032 core11=46974 core13=47037 core15=47251 core3=47105 core5=45264 core7=45627 core9=46840
2026-08-25T06:48:37Z alive=8 arms=375769 landings=751538 core1=47362 core11=47303 core13=47380 core15=47580 core3=47435 core5=45595 core7=45944 core9=47170
2026-08-25T06:49:37Z alive=8 arms=378413 landings=756826 core1=47693 core11=47633 core13=47709 core15=47910 core3=47766 core5=45926 core7=46275 core9=47501
2026-08-25T06:50:37Z alive=8 arms=381039 landings=762078 core1=48037 core11=47962 core13=48039 core15=48239 core3=48096 core5=46243 core7=46592 core9=47831
2026-08-25T06:51:37Z alive=8 arms=383694 landings=767388 core1=48368 core11=48305 core13=48368 core15=48582 core3=48427 core5=46574 core7=46909 core9=48161
2026-08-25T06:52:37Z alive=8 arms=386348 landings=772696 core1=48711 core11=48635 core13=48711 core15=48912 core3=48770 core5=46891 core7=47226 core9=48492
2026-08-25T06:53:37Z alive=8 arms=388978 landings=777956 core1=49042 core11=48978 core13=49041 core15=49241 core3=49101 core5=47209 core7=47544 core9=48822
2026-08-25T06:54:37Z alive=8 arms=391632 landings=783264 core1=49373 core11=49321 core13=49370 core15=49584 core3=49431 core5=47526 core7=47874 core9=49153
2026-08-25T06:55:37Z alive=8 arms=394248 landings=788496 core1=49703 core11=49651 core13=49700 core15=49913 core3=49763 core5=47844 core7=48191 core9=49483
2026-08-25T06:56:37Z alive=8 arms=396901 landings=793802 core1=50033 core11=49980 core13=50043 core15=50256 core3=50107 core5=48160 core7=48522 core9=49800
2026-08-25T06:57:37Z alive=8 arms=399529 landings=799058 core1=50364 core11=50323 core13=50372 core15=50586 core3=50437 core5=48478 core7=48839 core9=50130
