# SPDX-License-Identifier: AGPL-3.0-or-later
# generated by n6-instruction-sweep.py; do not edit
ARCH	arm64	rows=9	operations=128
OP	arm64	arm64-pmu	execute	37/85	MRS PMEVCNTR13_EL0
OP	arm64	arm64-pmu	execute	38/85	MRS PMEVCNTR14_EL0
OP	arm64	arm64-pmu	execute	39/85	MRS PMEVCNTR15_EL0
OP	arm64	arm64-pmu	execute	40/85	MRS PMEVCNTR16_EL0
OP	arm64	arm64-pmu	execute	41/85	MRS PMEVCNTR17_EL0
OP	arm64	arm64-pmu	execute	42/85	MRS PMEVCNTR18_EL0
OP	arm64	arm64-pmu	execute	43/85	MRS PMEVCNTR19_EL0
OP	arm64	arm64-pmu	execute	44/85	MRS PMEVCNTR20_EL0
OP	arm64	arm64-pmu	execute	45/85	MRS PMEVCNTR21_EL0
OP	arm64	arm64-pmu	execute	46/85	MRS PMEVCNTR22_EL0
OP	arm64	arm64-pmu	execute	47/85	MRS PMEVCNTR23_EL0
OP	arm64	arm64-pmu	execute	48/85	MRS PMEVCNTR24_EL0
OP	arm64	arm64-pmu	execute	49/85	MRS PMEVCNTR25_EL0
OP	arm64	arm64-pmu	execute	50/85	MRS PMEVCNTR26_EL0
OP	arm64	arm64-pmu	execute	51/85	MRS PMEVCNTR27_EL0
OP	arm64	arm64-pmu	execute	52/85	MRS PMEVCNTR28_EL0
OP	arm64	arm64-pmu	execute	53/85	MRS PMEVCNTR29_EL0
OP	arm64	arm64-pmu	execute	54/85	MRS PMEVCNTR30_EL0
OP	arm64	arm64-pmu	execute	55/85	MRS PMEVTYPER0_EL0
OP	arm64	arm64-pmu	execute	56/85	MRS PMEVTYPER1_EL0
OP	arm64	arm64-pmu	execute	57/85	MRS PMEVTYPER2_EL0
OP	arm64	arm64-pmu	execute	58/85	MRS PMEVTYPER3_EL0
OP	arm64	arm64-pmu	execute	59/85	MRS PMEVTYPER4_EL0
OP	arm64	arm64-pmu	execute	60/85	MRS PMEVTYPER5_EL0
OP	arm64	arm64-pmu	execute	61/85	MRS PMEVTYPER6_EL0
OP	arm64	arm64-pmu	execute	62/85	MRS PMEVTYPER7_EL0
OP	arm64	arm64-pmu	execute	63/85	MRS PMEVTYPER8_EL0
OP	arm64	arm64-pmu	execute	64/85	MRS PMEVTYPER9_EL0
OP	arm64	arm64-pmu	execute	65/85	MRS PMEVTYPER10_EL0
OP	arm64	arm64-pmu	execute	66/85	MRS PMEVTYPER11_EL0
OP	arm64	arm64-pmu	execute	67/85	MRS PMEVTYPER12_EL0
OP	arm64	arm64-pmu	execute	68/85	MRS PMEVTYPER13_EL0
OP	arm64	arm64-pmu	execute	69/85	MRS PMEVTYPER14_EL0
OP	arm64	arm64-pmu	execute	70/85	MRS PMEVTYPER15_EL0
OP	arm64	arm64-pmu	execute	71/85	MRS PMEVTYPER16_EL0
OP	arm64	arm64-pmu	execute	72/85	MRS PMEVTYPER17_EL0
OP	arm64	arm64-pmu	execute	73/85	MRS PMEVTYPER18_EL0
OP	arm64	arm64-pmu	execute	74/85	MRS PMEVTYPER19_EL0
OP	arm64	arm64-pmu	execute	75/85	MRS PMEVTYPER20_EL0
OP	arm64	arm64-pmu	execute	76/85	MRS PMEVTYPER21_EL0
OP	arm64	arm64-pmu	execute	77/85	MRS PMEVTYPER22_EL0
OP	arm64	arm64-pmu	execute	78/85	MRS PMEVTYPER23_EL0
OP	arm64	arm64-pmu	execute	79/85	MRS PMEVTYPER24_EL0
OP	arm64	arm64-pmu	execute	80/85	MRS PMEVTYPER25_EL0
OP	arm64	arm64-pmu	execute	81/85	MRS PMEVTYPER26_EL0
OP	arm64	arm64-pmu	execute	82/85	MRS PMEVTYPER27_EL0
OP	arm64	arm64-pmu	execute	83/85	MRS PMEVTYPER28_EL0
OP	arm64	arm64-pmu	execute	84/85	MRS PMEVTYPER29_EL0
OP	arm64	arm64-pmu	execute	85/85	MRS PMEVTYPER30_EL0
OP	arm64	arm64-entropy	mask-and-audit	1/2	MRS RNDR
OP	arm64	arm64-entropy	mask-and-audit	2/2	MRS RNDRRS
OP	arm64	arm64-exclusive-monitor	execute	1/8	LDXR
OP	arm64	arm64-exclusive-monitor	execute	2/8	LDAXR
OP	arm64	arm64-exclusive-monitor	execute	3/8	LDXP
OP	arm64	arm64-exclusive-monitor	execute	4/8	LDAXP
OP	arm64	arm64-exclusive-monitor	execute	5/8	STXR
OP	arm64	arm64-exclusive-monitor	execute	6/8	STLXR
OP	arm64	arm64-exclusive-monitor	execute	7/8	STXP
OP	arm64	arm64-exclusive-monitor	execute	8/8	STLXP
ARCH	x86_64	rows=9	operations=23
OP	x86_64	x86-cpuid	execute	1/1	CPUID
OP	x86_64	x86-tsc	execute	1/2	RDTSC
OP	x86_64	x86-tsc	execute	2/2	RDTSCP
OP	x86_64	x86-pmu	execute	1/1	RDPMC
OP	x86_64	x86-entropy	mask-and-audit	1/2	RDRAND
OP	x86_64	x86-entropy	mask-and-audit	2/2	RDSEED
OP	x86_64	x86-monitor-mwait	execute	1/2	MONITOR
OP	x86_64	x86-monitor-mwait	execute	2/2	MWAIT
OP	x86_64	x86-waitpkg	execute	1/3	UMONITOR
OP	x86_64	x86-waitpkg	execute	2/3	UMWAIT
OP	x86_64	x86-waitpkg	execute	3/3	TPAUSE
OP	x86_64	x86-xsave-image	execute	1/6	FXSAVE
OP	x86_64	x86-xsave-image	execute	2/6	FXSAVE64
OP	x86_64	x86-xsave-image	execute	3/6	XSAVE
OP	x86_64	x86-xsave-image	execute	4/6	XSAVEOPT
OP	x86_64	x86-xsave-image	execute	5/6	XSAVEC
OP	x86_64	x86-xsave-image	execute	6/6	XSAVES
OP	x86_64	x86-exit-rflags-rf	execute	1/1	exit-time RFLAGS.RF
OP	x86_64	x86-undefined-af	execute	1/5	shift followed by interrupt-frame capture
OP	x86_64	x86-undefined-af	execute	2/5	multiply followed by interrupt-frame capture
OP	x86_64	x86-undefined-af	execute	3/5	PUSHF capture
OP	x86_64	x86-undefined-af	execute	4/5	PUSHFQ capture
OP	x86_64	x86-undefined-af	execute	5/5	SYSCALL R11 capture
